TrialID,NFB_digit1,NFB_digit2,NFB_digit3,Speaker_trial,TrialID_ME,NFB_digit1_ME,NFB_digit2_ME,NFB_digit3_ME,Speaker_trial_ME,NV_trial_ME,Triggered_trial_ME,Jitter_trial_ME,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,ME_trials.thisRepN,ME_trials.thisTrialN,ME_trials.thisN,ME_trials.thisIndex,response_ME.thisRepN,response_ME.thisTrialN,response_ME.thisN,response_ME.thisIndex,Digit1_clear.started,Digit1_clear.stopped,response_practice_resp.keys,response_practice_resp.rt,response_practice_resp.started,response_practice_resp.stopped,text_practice_repeat.started,text_practice_repeat.stopped,text_4.started,text_4.stopped,Fixation_ME.started,Fixation_ME.stopped,sound_digit_1_ME.started,sound_digit_1_ME.stopped,text_2.started,text_2.stopped,key_resp_ME.keys,key_resp_ME.rt,key_resp_ME.started,key_resp_ME.stopped,disp_answer_ME.started,disp_answer_ME.stopped,text_7.started,text_7.stopped,text_next_block_ME.started,text_next_block_ME.stopped,response_nextblock_ME.keys,response_nextblock_ME.started,response_nextblock_ME.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0.0030176400032360107,None,['return'],[1.3255769999996119],32.27332630000092,None,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1724,eeg_contingent_digits,2021.2.3,60.351669176342654,
0.0,6.0,2.0,4.0,33.0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1724,eeg_contingent_digits,2021.2.3,60.351669176342654,
1.0,1.0,9.0,3.0,13.0,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,0.001260040000488516,None,['return'],[0.27765589999762597],34.137482800000726,None,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1724,eeg_contingent_digits,2021.2.3,60.351669176342654,
1.0,1.0,9.0,3.0,13.0,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1724,eeg_contingent_digits,2021.2.3,60.351669176342654,
2.0,8.0,0.0,1.0,21.0,,,,,,,,,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,,,,0.00092274000053294,None,['return'],[0.07768510000096285],34.955415399999765,None,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1724,eeg_contingent_digits,2021.2.3,60.351669176342654,
2.0,8.0,0.0,1.0,21.0,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1724,eeg_contingent_digits,2021.2.3,60.351669176342654,
3.0,9.0,6.0,1.0,61.0,,,,,,,,,0,0,0,0,0,3,3,3,0,0,0,0,,,,,,,,,0.0017752400017343462,None,['return'],[0.0907511000004888],35.57326979999925,None,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1724,eeg_contingent_digits,2021.2.3,60.351669176342654,
3.0,9.0,6.0,1.0,61.0,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1724,eeg_contingent_digits,2021.2.3,60.351669176342654,
4.0,8.0,1.0,5.0,7.0,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,0.0003120400033367332,None,['return'],[0.06798410000192234],36.20587650000016,None,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1724,eeg_contingent_digits,2021.2.3,60.351669176342654,
4.0,8.0,1.0,5.0,7.0,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Nov_17_1724,eeg_contingent_digits,2021.2.3,60.351669176342654,
